Words,Frequency
experience,186
service,131
provider,109
bad,80
healthcare,73
healthcare provider,73
highly,54
received highly,54
highly recommended,54
received,54
recommended,54
satisfied,54
satisfied service,54
service received,54
could happier,48
could,48
caring,48
caring attentive,48
attentive,48
staff caring,48
staff,48
attentive could,48
happier,48
good,43
neither,43
good bad,43
neither good,43
average experience,43
average,43
experience neither,43
wo,40
disappointing wo,40
wo coming,40
back,40
disappointing,40
coming back,40
coming,40
service disappointing,40
okay nothing,37
nothing,37
nothing exceptional,37
experience healthcare,37
okay,37
possible,37
provider avoid,37
avoid,37
service okay,37
avoid possible,37
exceptional,37
bad experience,37
excellent,36
would recommend,36
excellent great,36
recommend,36
recommend provider,36
provider excellent,36
great experience,36
great,36
terrible,36
terrible would,36
experience terrible,36
would,36
feeling experience,34
feeling,34
mixed,34
mixed feeling,34
